"TAXOCODE","X3A_CODE","Scientific_name","AphiaID","Match.type","ScientificName","AphiaID_accepted","Kingdom","Phylum","Class","Order","Family","Genus","Subgenus","Species","Subspecies","WoRMSname","English_name","ISSCAAP","CatchGroup","ByCatchGroup"
"1706324301","TAU","Tautoga onitis","158830","exact","Tautoga onitis","158830","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautoga","","onitis",,"Tautoga onitis","Tautog","33","demersal",
"3071300103","KDY","Crepidula onyx","397063","exact","Crepidula onyx","397063","Animalia","Mollusca","Gastropoda","Littorinimorpha","Calyptraeidae","Crepidula","","onyx",,"Crepidula onyx","Onyx slipper shell","52","molluscs",
"3211401104","GTY","Gonatus onyx","341859","exact","Gonatus onyx","341859","Animalia","Mollusca","Cephalopoda","Oegopsida","Gonatidae","Gonatus","","onyx",,"Gonatus onyx","","57","molluscs",
"3210400103","SQO","Loligo opalescens","341883","exact","Loligo opalescens","574540","Animalia","Mollusca","Cephalopoda","Myopsida","Loliginidae","Loligo","","opalescens",,"Loligo opalescens","Opalescent inshore squid","57","molluscs",
"1280601001","OMV","Ivindomyrus opdenboschi","1012841","exact","Ivindomyrus opdenboschi","1012841","Animalia","Chordata","Actinopterygii","Osteoglossiformes","Mormyridae",,"",,,"","","13","other",
"1771503708","QCS","Parablennius opercularis","273133","exact","Parablennius opercularis","273133","Animalia","Chordata","Actinopterygii","Perciformes","Blenniidae","Parablennius","","opercularis",,"Parablennius opercularis","Cheekspot blenny","33","demersal",
"3160800105","QSC","Aequipecten opercularis","140687","exact","Aequipecten opercularis","140687","Animalia","Mollusca","Bivalvia","Pectinoida","Pectinidae","Aequipecten","","opercularis",,"Aequipecten opercularis","Queen scallop","55","molluscs",
"1700223201","RIO","Rainfordia opercularis","282545","exact","Rainfordia opercularis","282545","Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Rainfordia","","opercularis",,"Rainfordia opercularis","Flathead perch","33","demersal",
"1772000801","EHS","Eleutherochir opercularis","280637","exact","Eleutherochir opercularis","280637","Animalia","Chordata","Actinopterygii","Perciformes","Callionymidae","Eleutherochir","","opercularis",,"Eleutherochir opercularis","","33","demersal",
"1782300101","AIO","Acantholiparis opercularis","279480","exact","Acantholiparis opercularis","279480","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Liparidae","Acantholiparis","","opercularis",,"Acantholiparis opercularis","Spiny snailfish","34","demersal",
"1231500501","PMO","Normichthys operosus","126745","exact","Normichthys operosus","126745","Animalia","Chordata","Actinopterygii","Osmeriformes","Platytroctidae","Normichthys","","operosus",,"Normichthys operosus","Multipore searsid","34","demersal",
"1732117401","OFF","Ophiogobius ophicephalus","281899","exact","Ophiogobius ophicephalus","281899","Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","Ophiogobius","","ophicephalus",,"Ophiogobius ophicephalus","","33","demersal",
"1703703903","MEO","Menticirrhus ophicephalus","276147","exact","Menticirrhus ophicephalus","276147","Animalia","Chordata","Actinopterygii","Perciformes","Sciaenidae","Menticirrhus","","ophicephalus",,"Menticirrhus ophicephalus","Snakehead kingcroaker","33","demersal",
"1510600602","NRO","Nerophis ophidion","127385","exact","Nerophis ophidion","127385","Animalia","Chordata","Actinopterygii","Syngnathiformes","Syngnathidae","Nerophis","","ophidion",,"Nerophis ophidion","Straightnose pipefish","33","demersal",
"1732108301","GBO","Zosterisessor ophiocephalus","126942","exact","Zosterisessor ophiocephalus","126942","Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","Zosterisessor","","ophiocephalus",,"Zosterisessor ophiocephalus","Grass goby","33","demersal",
"1431500301","OOZ","Ophichthus ophis","126315","exact","Ophichthus ophis","126315","Animalia","Chordata","Actinopterygii","Anguilliformes","Ophichthidae","Ophichthus","","ophis",,"Ophichthus ophis","Spotted snake-eel","33","demersal",
"1250302801","HTO","Heterophotus ophistoma","158733","exact","Heterophotus ophistoma","158733","Animalia","Chordata","Actinopterygii","Stomiiformes","Stomiidae","Heterophotus","","ophistoma",,"Heterophotus ophistoma","","34","demersal",
"1830600401","LDF","Lepidoblepharon ophthalmolepis","281290","exact","Lepidoblepharon ophthalmolepis","281290","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Citharidae","Lepidoblepharon","","ophthalmolepis",,"Lepidoblepharon ophthalmolepis","Scale-eyed flounder","31","flatfish",
"1732103604","NYI","Oxyurichthys ophthalmonema","219530","exact","Oxyurichthys ophthalmonema","219530","Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","Oxyurichthys","","ophthalmonema",,"Oxyurichthys ophthalmonema","Eyebrow goby","13","other",
